week,day,cup_number,pH,temperature_C
0,29/10/2021,1,,20.9
0,29/10/2021,2,,20.9
0,29/10/2021,3,,20.6
0,29/10/2021,4,,20.7
0,29/10/2021,5,,20.6
0,29/10/2021,6,,20.6
0,29/10/2021,7,,20.5
0,29/10/2021,8,,20.6
0,29/10/2021,9,,20.7
0,29/10/2021,10,,20.7
0,29/10/2021,11,,20.7
0,29/10/2021,12,,20.8
0,29/10/2021,13,,21
0,29/10/2021,14,,20.9
0,29/10/2021,15,,20.8
0,29/10/2021,16,,20.7
0,29/10/2021,17,,20.8
0,29/10/2021,18,,21.1
0,29/10/2021,19,,20.7
0,29/10/2021,20,,21.2
0,29/10/2021,21,,21
0,29/10/2021,22,,20.8
0,29/10/2021,23,,20.9
0,29/10/2021,24,,20.9
0,29/10/2021,25,,20.6
0,29/10/2021,26,,20.9
0,29/10/2021,27,,21.1
0,29/10/2021,28,,20.7
0,29/10/2021,29,,20.6
0,29/10/2021,30,,20.6
0,29/10/2021,31,,20.9
0,29/10/2021,32,,20.8
0,29/10/2021,33,,20.7
0,29/10/2021,34,,20.8
0,29/10/2021,35,,20.9
0,29/10/2021,36,,20.4
0,29/10/2021,37,,20.9
0,29/10/2021,38,,20.7
0,29/10/2021,39,,20.9
0,29/10/2021,40,,21.3
0,29/10/2021,41,,20.6
0,29/10/2021,42,,21
0,29/10/2021,43,,20.9
0,29/10/2021,44,,20.9
0,29/10/2021,45,,21
0,29/10/2021,46,,21
0,29/10/2021,47,,21.1
0,29/10/2021,48,,20.9
1,05/11/2021,1,,
1,05/11/2021,2,,
1,05/11/2021,3,,
1,05/11/2021,4,,
1,05/11/2021,5,,
1,05/11/2021,6,,
1,05/11/2021,7,,
1,05/11/2021,8,,
1,05/11/2021,9,,
1,05/11/2021,10,,
1,05/11/2021,11,6.85,22.5
1,05/11/2021,12,,22.6
1,05/11/2021,13,6.86,23
1,05/11/2021,14,,
1,05/11/2021,15,07.01,22
1,05/11/2021,16,6.37,22.7
1,05/11/2021,17,,
1,05/11/2021,18,,
1,05/11/2021,19,,
1,05/11/2021,20,,
1,05/11/2021,21,,
1,05/11/2021,22,,
1,05/11/2021,23,6.72,22.8
1,05/11/2021,24,,
1,05/11/2021,25,,
1,05/11/2021,26,,
1,05/11/2021,27,,
1,05/11/2021,28,6.58,22.1
1,05/11/2021,29,,
1,05/11/2021,30,6.45,22.3
1,05/11/2021,31,,
1,05/11/2021,32,,
1,05/11/2021,33,,
1,05/11/2021,34,6.59,22.3
1,05/11/2021,35,6.35,22.1
1,05/11/2021,36,6.61,22
1,05/11/2021,37,6.54,22.5
1,05/11/2021,38,6.53,23
1,05/11/2021,39,,
1,05/11/2021,40,,
1,05/11/2021,41,6.68,22
1,05/11/2021,42,,
1,05/11/2021,43,6.57,22.3
1,05/11/2021,44,6.41,23
1,05/11/2021,45,6.55,22.9
1,05/11/2021,46,6.54,23.1
1,05/11/2021,47,,
1,05/11/2021,48,,
2,08/11/2021,1,6.49,23
2,08/11/2021,2,6.31,22.8
2,08/11/2021,3,6.30,21.7
2,08/11/2021,4,6.53,22.4
2,08/11/2021,5,6.43,22.1
2,08/11/2021,6,6.28,21.8
2,08/11/2021,7,6.62,22.6
2,08/11/2021,8,6.65,22.5
2,08/11/2021,9,6.78,22.2
2,08/11/2021,10,6.17,23.7
2,08/11/2021,11,6.81,23.4
2,08/11/2021,12,6.55,23.5
2,08/11/2021,13,6.57,23.6
2,08/11/2021,14,6.51,22.6
2,08/11/2021,15,6.39,22.7
2,08/11/2021,16,6.68,23.8
2,08/11/2021,17,6.78,22.1
2,08/11/2021,18,6.46,22.9
2,08/11/2021,19,6.46,23
2,08/11/2021,20,6.61,22.9
2,08/11/2021,21,6.84,22.9
2,08/11/2021,22,6.52,21.8
2,08/11/2021,23,7.12,23.3
2,08/11/2021,24,6.54,22.3
2,08/11/2021,25,6.97,22.3
2,08/11/2021,26,6.89,22.4
2,08/11/2021,27,7.14,24.6
2,08/11/2021,28,07.01,23.1
2,08/11/2021,29,6.86,22.5
2,08/11/2021,30,6.79,22.9
2,08/11/2021,31,6.85,22.5
2,08/11/2021,32,6.95,22.7
2,08/11/2021,33,07.01,22.2
2,08/11/2021,34,6.97,23.4
2,08/11/2021,35,6.87,23.6
2,08/11/2021,36,6.98,22.6
2,08/11/2021,37,6.97,23.1
2,08/11/2021,38,07.07,23.3
2,08/11/2021,39,6.6,22.3
2,08/11/2021,40,6.73,23.5
2,08/11/2021,41,6.90,22.8
2,08/11/2021,42,07.08,24.3
2,08/11/2021,43,6.99,23.1
2,08/11/2021,44,6.90,24
2,08/11/2021,45,07.01,24.1
2,08/11/2021,46,6.54,23.1
2,08/11/2021,47,6.96,23.4
2,08/11/2021,48,7.07,22.9
3,15/11/2021,1,6.79,21.8
3,15/11/2021,2,6.82,21.7
3,15/11/2021,3,6.23,20.4
3,15/11/2021,4,6.38,21.2
3,15/11/2021,5,6.37,20.9
3,15/11/2021,6,6.15,20.8
3,15/11/2021,7,6.8,21.4
3,15/11/2021,8,6.92,21.4
3,15/11/2021,9,6.9,21.4
3,15/11/2021,10,6.51,22.1
3,15/11/2021,11,6.8,21.9
3,15/11/2021,12,6.72,22.2
3,15/11/2021,13,6.6,21.9
3,15/11/2021,14,6.68,21.8
3,15/11/2021,15,7.05,21.3
3,15/11/2021,16,6.78,22.4
3,15/11/2021,17,6.77,20.4
3,15/11/2021,18,6.72,21.9
